,n = 1000000,n = 10000000,n = 100000000,,,,,
list_func_1,0.2984,2.9337,30.9733,,,,,
,0.3013,3.0800,31.2114,,,,,
,0.2916,2.9456,30.0226,,,,,
list_func_2,0.1349,1.1883,13.6360,,,,,
,0.1276,1.3532,12.3005,,,,,
,0.1310,1.2831,13.264,,,,,
list_func_3,0.0866,0.8728,8.6191,,,,,
,0.0866,0.8859,8.5788,,,,,
,0.0868,0.8941,8.6702,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
mean,,,,,,,,
list_func_1,0.2971,2.98643333333333,30.7357666666667,,,,,
list_func_2,0.131166666666667,1.27486666666667,13.0668333333333,,,,,
list_func_3,0.0866666666666667,0.884266666666667,8.6227,,,,,
,,,,,,,,
var,,,,,,,,
list_func_1,0.0000247899999999999,0.00660144333333333,0.395627923333333,,,,,
list_func_2,0.0000133433333333333,0.00684884333333334,0.475046083333333,,,,,
list_func_3,0.0000000133333333333341,0.000115423333333333,0.00209821000000001,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,